,0,
0xdb3a1e9626ca6fed9649ac714f263c6dee5295e9c6654c20fd02289eb21887e8,0xdd5f6b0d0fb07c843ca30b12909f8672e1482a7e,0x60806040523480156200001157600080fd5b506040805190810160405280600581526020017f4f52595820000000000000000000000000000000000000000000000000000000815250600390805190602001906200005f929190620003af565b506040805190810160405280600481526020017f4f5259580000000000000000000000000000000000000000000000000000000081525060049080519060200190620000ad929190620003af565b506012600560006101000a81548160ff021916908360ff16021790555062000121620000e762000127640100000000026401000000009004565b620001006200012f640100000000026401000000009004565b60ff16600a0a6305f5e1000262000146640100000000026401000000009004565b6200045e565b600033905090565b6000600560009054906101000a900460ff16905090565b600073ffffffffffffffffffffffffffffffffffffffff168273ffffffffffffffffffffffffffffffffffffffff1614151515620001ec576040517f08c379a000000000000000000000000000000000000000000000000000000000815260040180806020018281038252601f8152602001807f45524332303a206d696e7420746f20746865207a65726f20616464726573730081525060200191505060405180910390fd5b6200021181600254620003246401000000000262001199179091906401000000009004565b60028190555062000278816000808573ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002054620003246401000000000262001199179091906401000000009004565b6000808473ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020819055508173ffffffffffffffffffffffffffffffffffffffff16600073ffffffffffffffffffffffffffffffffffffffff167fddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef836040518082815260200191505060405180910390a35050565b6000808284019050838110151515620003a5576040517f08c379a000000000000000000000000000000000000000000000000000000000815260040180806020018281038252601b8152602001807f536166654d6174683a206164646974696f6e206f766572666c6f77000000000081525060200191505060405180910390fd5b8091505092915050565b828054600181600116156101000203166002900490600052602060002090601f016020900481019282601f10620003f257805160ff191683800117855562000423565b8280016001018555821562000423579182015b828111156200042257825182559160200191906001019062000405565b5b50905062000432919062000436565b5090565b6200045b91905b80821115620004575760008160009055506001016200043d565b5090565b90565b61124f806200046e6000396000f3fe6080604052600436106100af576000357c0100000000000000000000000000000000000000000000000000000000900463ffffffff16806306fdde03146100b4578063095ea7b31461014457806318160ddd146101b757806323b872dd146101e2578063313ce5671461027557806339509351146102a657806370a082311461031957806395d89b411461037e578063a457c2d71461040e578063a9059cbb14610481578063dd62ed3e146104f4575b600080fd5b3480156100c057600080fd5b506100c9610579565b6040518080602001828103825283818151815260200191508051906020019080838360005b838110156101095780820151818401526020810190506100ee565b50505050905090810190601f1680156101365780820380516001836020036101000a031916815260200191505b509250505060405180910390f35b34801561015057600080fd5b5061019d6004803603604081101561016757600080fd5b81019080803573ffffffffffffffffffffffffffffffffffffffff1690602001909291908035906020019092919050505061061b565b604051808215151515815260200191505060405180910390f35b3480156101c357600080fd5b506101cc610639565b6040518082815260200191505060405180910390f35b3480156101ee57600080fd5b5061025b6004803603606081101561020557600080fd5b81019080803573ffffffffffffffffffffffffffffffffffffffff169060200190929190803573ffffffffffffffffffffffffffffffffffffffff16906020019092919080359060200190929190505050610643565b604051808215151515815260200191505060405180910390f35b34801561028157600080fd5b5061028a610760565b604051808260ff1660ff16815260200191505060405180910390f35b3480156102b257600080fd5b506102ff600480360360408110156102c957600080fd5b81019080803573ffffffffffffffffffffffffffffffffffffffff16906020019092919080359060200190929190505050610777565b604051808215151515815260200191505060405180910390f35b34801561032557600080fd5b506103686004803603602081101561033c57600080fd5b81019080803573ffffffffffffffffffffffffffffffffffffffff16906020019092919050505061082a565b6040518082815260200191505060405180910390f35b34801561038a57600080fd5b50610393610872565b6040518080602001828103825283818151815260200191508051906020019080838360005b838110156103d35780820151818401526020810190506103b8565b50505050905090810190601f1680156104005780820380516001836020036101000a031916815260200191505b509250505060405180910390f35b34801561041a57600080fd5b506104676004803603604081101561043157600080fd5b81019080803573ffffffffffffffffffffffffffffffffffffffff16906020019092919080359060200190929190505050610914565b604051808215151515815260200191505060405180910390f35b34801561048d57600080fd5b506104da600480360360408110156104a457600080fd5b81019080803573ffffffffffffffffffffffffffffffffffffffff16906020019092919080359060200190929190505050610a25565b604051808215151515815260200191505060405180910390f35b34801561050057600080fd5b506105636004803603604081101561051757600080fd5b81019080803573ffffffffffffffffffffffffffffffffffffffff169060200190929190803573ffffffffffffffffffffffffffffffffffffffff169060200190929190505050610a43565b6040518082815260200191505060405180910390f35b606060038054600181600116156101000203166002900480601f0160208091040260200160405190810160405280929190818152602001828054600181600116156101000203166002900480156106115780601f106105e657610100808354040283529160200191610611565b820191906000526020600020905b8154815290600101906020018083116105f457829003601f168201915b5050505050905090565b600061062f610628610aca565b8484610ad2565b6001905092915050565b6000600254905090565b6000610650848484610d53565b6107558461065c610aca565b61075085606060405190810160405280602881526020017f45524332303a207472616e7366657220616d6f756e742065786365656473206181526020017f6c6c6f77616e6365000000000000000000000000000000000000000000000000815250600160008b73ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1681526020019081526020016000206000610706610aca565b73ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020546110d79092919063ffffffff16565b610ad2565b600190509392505050565b6000600560009054906101000a900460ff16905090565b6000610820610784610aca565b8461081b8560016000610795610aca565b73ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002060008973ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1681526020019081526020016000205461119990919063ffffffff16565b610ad2565b6001905092915050565b60008060008373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020549050919050565b606060048054600181600116156101000203166002900480601f01602080910402602001604051908101604052809291908181526020018280546001816001161561010002031660029004801561090a5780601f106108df5761010080835404028352916020019161090a565b820191906000526020600020905b8154815290600101906020018083116108ed57829003601f168201915b5050505050905090565b6000610a1b610921610aca565b84610a1685606060405190810160405280602581526020017f45524332303a2064656372656173656420616c6c6f77616e63652062656c6f7781526020017f207a65726f0000000000000000000000000000000000000000000000000000008152506001600061098f610aca565b73ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002060008a73ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020546110d79092919063ffffffff16565b610ad2565b6001905092915050565b6000610a39610a32610aca565b8484610d53565b6001905092915050565b6000600160008473ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002060008373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002054905092915050565b600033905090565b600073ffffffffffffffffffffffffffffffffffffffff168373ffffffffffffffffffffffffffffffffffffffff1614151515610b9d576040517f08c379a00000000000000000000000000000000000000000000000000000000081526004018080602001828103825260248152602001807f45524332303a20617070726f76652066726f6d20746865207a65726f2061646481526020017f726573730000000000000000000000000000000000000000000000000000000081525060400191505060405180910390fd5b600073ffffffffffffffffffffffffffffffffffffffff168273ffffffffffffffffffffffffffffffffffffffff1614151515610c68576040517f08c379a00000000000000000000000000000000000000000000000000000000081526004018080602001828103825260228152602001807f45524332303a20617070726f766520746f20746865207a65726f20616464726581526020017f737300000000000000000000000000000000000000000000000000000000000081525060400191505060405180910390fd5b80600160008573ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002060008473ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020819055508173ffffffffffffffffffffffffffffffffffffffff168373ffffffffffffffffffffffffffffffffffffffff167f8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b925836040518082815260200191505060405180910390a3505050565b600073ffffffffffffffffffffffffffffffffffffffff168373ffffffffffffffffffffffffffffffffffffffff1614151515610e1e576040517f08c379a00000000000000000000000000000000000000000000000000000000081526004018080602001828103825260258152602001807f45524332303a207472616e736665722066726f6d20746865207a65726f20616481526020017f647265737300000000000000000000000000000000000000000000000000000081525060400191505060405180910390fd5b600073ffffffffffffffffffffffffffffffffffffffff168273ffffffffffffffffffffffffffffffffffffffff1614151515610ee9576040517f08c379a00000000000000000000000000000000000000000000000000000000081526004018080602001828103825260238152602001807f45524332303a207472616e7366657220746f20746865207a65726f206164647281526020017f657373000000000000000000000000000000000000000000000000000000000081525060400191505060405180910390fd5b610f9881606060405190810160405280602681526020017f45524332303a207472616e7366657220616d6f756e742065786365656473206281526020017f616c616e636500000000000000000000000000000000000000000000000000008152506000808773ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020546110d79092919063ffffffff16565b6000808573ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1681526020019081526020016000208190555061102b816000808573ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1681526020019081526020016000205461119990919063ffffffff16565b6000808473ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020819055508173ffffffffffffffffffffffffffffffffffffffff168373ffffffffffffffffffffffffffffffffffffffff167fddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef836040518082815260200191505060405180910390a3505050565b60008383111582901515611186576040517f08c379a00000000000000000000000000000000000000000000000000000000081526004018080602001828103825283818151815260200191508051906020019080838360005b8381101561114b578082015181840152602081019050611130565b50505050905090810190601f1680156111785780820380516001836020036101000a031916815260200191505b509250505060405180910390fd5b5060008385039050809150509392505050565b6000808284019050838110151515611219576040517f08c379a000000000000000000000000000000000000000000000000000000000815260040180806020018281038252601b8152602001807f536166654d6174683a206164646974696f6e206f766572666c6f77000000000081525060200191505060405180910390fd5b809150509291505056fea165627a7a723058202a7468a9b6e26b099c57e1f1efa28ea0702eed8acfb2fbf183f4264d498c285e0029
0x17205558b4ab84aa04654e05871fc3178447bac9a7d293ec6b2747f81df8efad,0xdd5f6b0d0fb07c843ca30b12909f8672e1482a7e,0xa9059cbb000000000000000000000000a94c1797ebfbd0fab169504866bee09793b7f3bd00000000000000000000000000000000000000000000003635c9adc5dea00000
0x0936af7fdcb3486d3f9fc3f2357aa74f02b9b7cf0eef1296bb37da52aaf7ecaa,0xdd5f6b0d0fb07c843ca30b12909f8672e1482a7e,0xa9059cbb0000000000000000000000006930846e8b1337b2ed62483dc51e273659778c9f00000000000000000000000000000000000000000000001b1ae4d6e2ef500000
0x5fc9e0ec4820da6d2f294badbe903cb9c741e1bbab55551c5f3c34106b2d16cf,0xdd5f6b0d0fb07c843ca30b12909f8672e1482a7e,0xa9059cbb00000000000000000000000017aa8da709cb9dd84084c48f548ef9a47430cf3500000000000000000000000000000000000000000000001b1ae4d6e2ef500000
0xefc5b026e3a4351c74b7e3f826dfbf2038bde44da1ab7061e955630de8a09ded,0xdd5f6b0d0fb07c843ca30b12909f8672e1482a7e,0xa9059cbb000000000000000000000000ffc8581f75b2d7572695d0797116c6aaf4e74417000000000000000000000000000000000000000000000015af1d78b58c400000
0xd89d1b2447ed89a779a234ae3d72669850f6d1759d6e1d8f6aca1e2edc7efef0,0xdd5f6b0d0fb07c843ca30b12909f8672e1482a7e,0xa9059cbb000000000000000000000000364c3f51d3ea902f079c8c2528184af95fc7afd000000000000000000000000000000000000000000000001043561a8829300000
0xfbe762b602c3bc68fca6453854943c1b0e2b5e29c7f4d922c49a512fd17d18b6,0xdd5f6b0d0fb07c843ca30b12909f8672e1482a7e,0xa9059cbb0000000000000000000000003ad2c2579a7e007733c1d67bbf58d9da8f97306e00000000000000000000000000000000000000000000074cad3938d08a3c0000
0x7886f2ce5c6450d7d5b6f0cec4e9005d6d19ea70039c47a4c236d828a8dee83b,0xdd5f6b0d0fb07c843ca30b12909f8672e1482a7e,0xa9059cbb00000000000000000000000087e4ce909dac547f6834ec18d920b5dd4b390a6a00000000000000000000000000000000000000000000016033fcc56b30e40000
0x8417737036344577cb87a4fcf22c0315d31b4cd72d1efefec7ee42492d3e994e,0xdd5f6b0d0fb07c843ca30b12909f8672e1482a7e,0xa9059cbb000000000000000000000000596e5df8d7f9f9df77c765a94be54f348c1a85c4000000000000000000000000000000000000000000000635c401583161780000
0x3e8af57d159d9fba20911337286dad7e7f5787ebcc12714aa260f04b29e27dd0,0xdd5f6b0d0fb07c843ca30b12909f8672e1482a7e,0xa9059cbb000000000000000000000000008ba48b1c005edbc76d75c7143c868576f1fbbf0000000000000000000000000000000000000000000004155561de49916c0000
